                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.95028,                 2.3722,                0.88613,                 0.7864,                0.67671,                0.80929,                0.66168,                 0.7323,                 1.6194,                0.81817,               0.067228,             0.00033103,             0.00033103
                      2,                0.58387,                0.72065,                 0.8147,                0.94593,                0.90671,                 0.9679,                0.86862,                 0.4749,                0.54778,                0.77656,               0.034195,             0.00063148,             0.00063148
                      3,                 0.5349,                0.54307,                0.80644,                0.97026,                 0.9307,                0.98022,                0.81179,                0.72075,                0.45741,                0.79544,              0.0011288,             0.00089893,             0.00089893
                      4,                0.50559,                0.47534,                0.80279,                0.97201,                0.93329,                 0.9826,                0.88353,                0.46529,                0.40554,                0.77205,              0.0008515,              0.0008515,              0.0008515
                      5,                0.48383,                0.44567,                0.79974,                0.97346,                0.94008,                0.98371,                0.89644,                0.41401,                0.34213,                0.76496,              0.0008515,              0.0008515,              0.0008515
                      6,                0.47334,                0.42581,                 0.7988,                0.97632,                0.94128,                0.98619,                 0.8902,                0.47035,                0.35334,                0.76931,               0.000802,               0.000802,               0.000802
                      7,                0.46533,                0.40302,                0.79768,                0.96674,                0.93348,                0.98275,                0.88194,                0.47303,                0.34156,                0.76846,              0.0007525,              0.0007525,              0.0007525
                      8,                0.43486,                0.38993,                0.79466,                0.97983,                0.94447,                0.98712,                0.90454,                0.40282,                0.30042,                0.76187,               0.000703,               0.000703,               0.000703
                      9,                0.42933,                 0.3769,                0.79372,                0.98061,                0.94935,                0.98829,                0.87594,                0.51541,                0.31148,                0.77051,              0.0006535,              0.0006535,              0.0006535
                     10,                0.42258,                0.36322,                0.79306,                0.98224,                 0.9477,                0.98812,                0.78828,                0.84486,                0.37667,                0.80899,               0.000604,               0.000604,               0.000604
                     11,                0.40561,                0.34735,                0.79145,                0.97617,                0.94813,                0.98846,                0.88277,                0.50576,                0.30507,                0.77026,              0.0005545,              0.0005545,              0.0005545
                     12,                0.36957,                0.31879,                0.78753,                0.98425,                0.95074,                0.98925,                0.87431,                0.54897,                0.29407,                0.77426,               0.000505,               0.000505,               0.000505
                     13,                 0.3605,                0.30545,                0.78652,                0.98207,                0.95261,                0.98965,                0.93485,                0.33072,                0.24049,                0.75529,              0.0004555,              0.0004555,              0.0004555
                     14,                 0.3584,                0.30462,                0.78562,                0.98258,                0.95466,                 0.9902,                0.89505,                 0.4535,                0.26718,                0.76412,               0.000406,               0.000406,               0.000406
                     15,                0.35089,                0.29491,                0.78506,                 0.9812,                0.95498,                0.99017,                0.84194,                0.68364,                0.30778,                0.78682,              0.0003565,              0.0003565,              0.0003565
                     16,                0.33564,                0.28273,                0.78398,                0.98323,                0.95518,                0.99073,                0.94644,                0.31455,                0.22856,                0.75298,               0.000307,               0.000307,               0.000307
                     17,                0.34029,                0.27779,                0.78371,                0.98196,                 0.9563,                0.99073,                0.95012,                0.30348,                0.22238,                0.75273,              0.0002575,              0.0002575,              0.0002575
                     18,                0.32781,                0.27035,                0.78292,                 0.9815,                0.95612,                0.99045,                0.87762,                0.55456,                0.27694,                0.77239,               0.000208,               0.000208,               0.000208
                     19,                0.31646,                0.26494,                0.78197,                0.98334,                0.95925,                0.99116,                0.90852,                0.41145,                0.24268,                0.76015,              0.0001585,              0.0001585,              0.0001585
                     20,                0.30971,                0.25638,                0.78119,                0.98542,                0.96125,                0.99152,                0.88569,                0.52368,                 0.2553,                0.76878,               0.000109,               0.000109,               0.000109
